City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
327,Kamaishi,JP,39.2667,141.8833,27.01,87,36,28.92
328,Ingham,US,42.6,-84.3833,25.0,58,1,3.49
329,Maragogi,BR,-9.0122,-35.2225,79.88,79,100,11.21
330,Lahat,ID,-3.8,103.5333,72.73,91,100,2.21
331,Ulladulla,AU,-35.35,150.4667,69.01,100,90,7.76
332,Jimeta,NG,9.2833,12.4667,82.4,34,0,4.56
333,Mollendo,PE,-17.0231,-72.0147,73.99,64,0,8.5
334,Bull Savanna,JM,17.8868,-77.5902,78.46,66,26,4.25
335,Constantine,DZ,36.365,6.6147,57.2,62,0,10.36
336,Ustye,RU,59.6304,39.736,20.88,97,100,9.1
337,Port Hedland,AU,-20.3167,118.5667,82.4,83,81,6.91
338,Villamontes,BO,-21.25,-63.5,100.92,28,0,6.76
339,Manono,CD,-7.3,27.4167,73.26,86,100,1.28
340,Longyearbyen,SJ,78.2186,15.6401,-10.19,84,0,9.46
341,Laguna,US,38.421,-121.4238,48.99,93,90,0.87
342,Mbandaka,CD,0.0487,18.2603,75.06,84,70,1.32
343,Bontang,ID,0.1333,117.5,77.7,82,96,7.52
344,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,72,20,7.92
345,Campoverde,PE,-8.4753,-74.8058,91.4,55,40,10.36
346,Portland,US,45.5234,-122.6762,44.01,87,90,6.91
347,Salalah,OM,17.0151,54.0924,73.4,64,75,10.36
348,Araguari,BR,-18.6472,-48.1872,82.4,32,0,9.22
349,College,US,64.8569,-147.8028,1.99,71,75,2.77
350,Egvekinot,RU,66.3167,-179.1667,-21.28,84,2,13.2
351,Bose,IT,45.4612,8.0137,51.01,56,34,4.0
352,Nalut,LY,30.3333,10.85,55.62,41,0,4.99
353,Yebaishou,CN,41.3975,119.6408,10.44,88,0,4.38
354,Vygonichi,RU,53.0985,34.0673,22.32,98,93,9.46
355,Lerici,IT,44.0759,9.9112,50.0,89,42,4.63
356,Pacifica,US,37.6138,-122.4869,53.01,71,20,6.91
357,Redcliffe,AU,-27.2307,153.0973,75.99,73,20,6.91
358,Mercedes,AR,-34.6515,-59.4307,84.0,56,1,5.99
359,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,84.2,79,75,8.05
360,Talara,PE,-4.5772,-81.2719,84.2,58,75,9.22
361,Kahului,US,20.8947,-156.47,72.0,88,40,13.8
362,Maldonado,UY,-34.6667,-54.9167,80.01,61,75,13.8
363,Belyy Yar,RU,53.6039,91.3903,24.8,74,0,8.95
364,Zhigansk,RU,66.7697,123.3711,-45.85,76,76,10.56
365,Maroantsetra,MG,-15.4333,49.7333,75.78,88,97,4.38
366,Carlibaba,RO,47.5833,25.1333,30.99,82,100,3.4
367,Surt,LY,31.2089,16.5887,65.73,48,0,13.69
368,Elizabeth City,US,36.2946,-76.2511,35.6,35,1,16.11
369,Hays,US,30.0502,-98.0336,64.99,62,29,5.01
370,Baghdad,IQ,33.3406,44.4009,51.8,76,0,3.44
371,Muisne,EC,0.6,-80.0333,84.2,84,75,3.44
372,Denpasar,ID,-8.65,115.2167,78.8,83,40,8.05
373,Sitka,US,57.0531,-135.33,35.6,55,90,14.97
374,Imeni Stepana Razina,RU,54.8932,44.2963,27.54,96,100,11.95
375,Kemijarvi,FI,66.7131,27.4306,5.5,94,99,5.64
376,Batagay-Alyta,RU,67.8006,130.4114,-31.56,79,100,1.48
377,Sydney,AU,-33.8679,151.2073,70.0,99,98,1.99
378,Svencionys,LT,55.15,26.1667,22.46,98,100,12.01
379,Posadas,AR,-27.3671,-55.8961,91.4,58,75,5.75
380,Margate,GB,51.3813,1.3862,48.99,76,97,1.99
381,Esfarayen,IR,37.0765,57.5101,48.2,29,0,6.76
382,Tacuati,PY,-23.45,-56.5833,82.02,82,87,5.86
383,Gobo,JP,33.8833,135.15,37.4,51,20,12.66
384,Opuwo,NA,-18.0607,13.84,72.45,61,94,5.68
385,Iquique,CL,-20.2208,-70.1431,73.4,60,0,16.11
386,Tautira,PF,-17.7333,-149.15,84.2,65,40,12.66
387,Tuatapere,NZ,-46.1333,167.6833,48.0,80,3,8.01
388,Bambanglipuro,ID,-7.95,110.2833,75.76,92,99,6.89
389,Biak,ID,-0.9131,122.8766,76.01,71,100,4.09
390,Beira,MZ,-19.8436,34.8389,82.4,83,20,9.22
391,Turukhansk,RU,65.8167,87.9833,-29.45,78,100,4.83
392,Wufeng,CN,27.45,104.8333,33.22,100,100,5.3
393,Tanete,ID,-3.9443,119.7848,75.88,86,100,1.92
394,Asfi,MA,32.2994,-9.2372,59.4,87,0,7.58
395,Parana,AR,-31.732,-60.5238,87.01,50,0,1.99
396,Seminole,US,28.7086,-81.2081,66.99,39,1,5.75
397,Quzhou,CN,28.9594,118.8686,38.88,73,11,2.84
398,Codrington,AU,-38.2667,141.9667,59.63,79,100,11.77
399,Porosozero,RU,62.7191,32.727,25.52,98,100,7.67
400,Baoqing,CN,46.3317,132.2111,-19.8,83,0,2.21
401,Mabamba,TZ,-3.5983,30.5019,63.46,92,20,1.81
402,Terrace,CA,54.5163,-128.6035,17.6,67,90,20.71
403,El Fuerte,MX,26.4189,-108.6194,82.2,28,87,8.61
404,Norden,DE,53.6,7.2,30.0,87,100,7.0
405,La Rochelle,FR,46.1667,-1.15,51.8,93,100,9.22
406,Yerbogachen,RU,61.2767,108.0108,-44.23,78,44,5.41
407,Guerrero Negro,MX,27.9769,-114.0611,65.84,54,0,11.7
408,Liverpool,GB,53.4106,-2.9779,44.6,87,90,5.75
409,Qaqortoq,GL,60.7167,-46.0333,44.6,29,75,24.16
410,San Onofre,CO,9.7359,-75.5263,88.99,50,100,12.44
411,Desaguadero,PE,-16.5656,-69.0417,58.24,37,21,13.33
412,Noumea,NC,-22.2763,166.4572,79.0,78,20,9.06
413,Mount Gambier,AU,-37.8333,140.7667,57.2,100,90,9.22
414,Ketchikan,US,55.3422,-131.6461,30.2,93,90,4.61
415,Kloulklubed,PW,7.0419,134.2556,80.29,75,100,22.06
416,Urumqi,CN,43.801,87.6005,6.8,85,12,4.47
417,Nanakuli,US,21.3906,-158.1547,73.4,73,75,8.05
418,Aklavik,CA,68.2191,-135.0107,-31.0,68,40,3.44
419,Collie,AU,-33.3667,116.15,58.77,74,0,10.22
420,Rocha,UY,-34.4833,-54.3333,81.19,47,31,8.16
421,Potsdam,DE,52.3989,13.0657,30.99,92,99,7.99
422,Skowhegan,US,44.7651,-69.7192,19.0,65,100,5.99
423,Pundaguitan,PH,6.3711,126.1689,80.4,76,97,12.62
424,Plettenberg Bay,ZA,-34.0527,23.3716,64.36,77,0,3.78
425,Adrar,MR,20.5022,-10.0711,71.06,20,0,8.57
426,Svetlaya,RU,46.5389,138.3297,4.95,89,100,14.05
427,Goderich,CA,43.7501,-81.7165,23.0,68,100,19.57
428,Aginskoye,RU,51.1,114.53,-22.79,80,100,1.07
429,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,88,20,4.88
430,Riyadh,SA,24.6877,46.7219,69.8,28,0,3.44
431,Cockburn Town,TC,21.4612,-71.1419,75.2,50,40,17.27
432,Husavik,IS,66.0449,-17.3389,15.8,86,75,7.52
433,Port Augusta,AU,-32.5,137.7667,68.0,73,90,12.66
434,Leningradskiy,RU,69.3833,178.4167,-24.97,83,77,8.61
435,Saint-Francois,FR,46.4154,3.9054,50.0,71,20,12.66
436,Kurilsk,RU,45.2333,147.8833,27.52,96,100,20.76
437,Preobrazheniye,RU,42.9019,133.9064,-1.05,78,0,7.96
438,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,53,1,6.91
439,Cuamba,MZ,-14.8031,36.5372,71.76,92,100,2.15
440,Vorontsovka,RU,50.6132,40.3549,33.4,92,100,18.39
441,Djibo,BF,14.1022,-1.6306,76.89,17,0,8.97
442,Vao,NC,-22.6667,167.4833,75.79,79,99,22.06
443,Brae,GB,60.3964,-1.353,33.8,86,20,16.11
444,Sao Sepe,BR,-30.1606,-53.5653,78.8,89,75,14.97
445,Juegang,CN,32.3174,121.1855,39.0,70,12,8.9
446,Srednekolymsk,RU,67.45,153.6833,-30.1,84,100,3.89
447,Palauig,PH,15.435,119.9045,73.71,68,83,7.85
448,Martapura,ID,-3.4167,114.85,73.4,100,75,1.92
449,Puerto Rondon,CO,6.2805,-71.1,92.17,35,84,9.86
450,Prince Rupert,CA,54.3161,-130.3201,37.4,69,75,10.36
451,Canutama,BR,-6.5339,-64.3831,83.64,84,100,2.04
452,Vila,PT,42.0304,-8.1588,52.0,95,100,11.74
453,Evensk,RU,61.95,159.2333,-5.96,83,98,12.46
454,Ramhormoz,IR,31.28,49.6035,66.99,35,52,16.37
455,Ambovombe,MG,-25.1667,46.0833,78.33,84,0,10.69
456,Pozo Colorado,PY,-23.4923,-58.7972,84.79,63,100,7.78
457,Muromtsevo,RU,56.3724,75.2418,17.38,97,100,3.65
458,Ballina,AU,-28.8667,153.5667,69.8,94,75,3.44
